# Netdata Topology OUI Vendor Dataset
# Generated: 2026-02-26T08:31:44Z
# Sources:
# - ieee_oui https://standards-oui.ieee.org/oui/oui.csv
# - ieee_cid https://standards-oui.ieee.org/cid/cid.csv
# - ieee_oui36 https://standards-oui.ieee.org/oui36/oui36.csv
# - ieee_iab https://standards-oui.ieee.org/iab/iab.csv
# Format: <HEX_PREFIX>\t<VENDOR>
001BC5000	Converging Systems Inc.
5496CB	AMPAK Technology Inc.
549963	Apple, Inc.
549A11	IEEE Registration Authority
549A16	Uzushio Electric Co.,Ltd.
549A4C	GUANGDONG HOMECARE TECHNOLOGY CO.,LTD.
549A8F	Realme Chongqing Mobile Telecommunications Corp.,Ltd.
549B12	Samsung Electronics Co.,Ltd
549B24	Mellanox Technologies, Inc.
549B49	NEC Platforms, Ltd.
549B72	Ericsson AB
549C27	Plasma Cloud Limited
549D85	EnerAccess inc
549F06	Nokia Shanghai Bell Co., Ltd.
549F13	Apple, Inc.
549F35	Dell Inc.
549FAE	iBASE Gaming Inc
549FC6	Cisco Systems, Inc
54A04F	t-mac Technologies Ltd
54A050	ASUSTek COMPUTER INC.
54A0AB	Maiyue Future Intelligent Technology (Suzhou) Co.,Ltd.
54A104	OPTOWL Co.,Ltd
54A245	Digisol Systems Limited
54A274	Cisco Systems, Inc
54A31B	Shenzhen Linkworld Technology Co,.LTD
54A3FA	BQT Solutions (Australia)Pty Ltd
54A493	IEEE Registration Authority
54A51B	HUAWEI TECHNOLOGIES CO.,LTD
54A54B	NSC Communications Siberia Ltd
54A552	Shenzhen WeSing Interactive Entertainment Technology Co., Ltd
54A619	Alcatel-Lucent Shanghai Bell Co., Ltd
54A637	HUAWEI TECHNOLOGIES CO.,LTD
54A65C	Vantiva USA LLC
54A6DB	Huawei Device Co., Ltd.
54A703	TP-LINK TECHNOLOGIES CO.,LTD.
54A7A0	HUNAN AIMAG INTELLIGENT TECHNOLOGY CO.,LTD
54A9C8	Home Control Singapore Pte Ltd
54A9D4	Minibar Systems
54AB3A	Quanta Computer Inc.
54ACFC	LIZN ApS
54AE27	Apple, Inc.
54AEBC	CHINA DRAGON TECHNOLOGY LIMITED
54AED0	DASAN Networks, Inc.
54AED2	CSL Dualcom Ltd
54AF97	TP-Link Systems Inc
54B121	HUAWEI TECHNOLOGIES CO.,LTD
54B203	PEGATRON CORPORATION
54B27E	Sagemcom Broadband SAS
54B29D	Shenzhen YOUHUA Technology Co., Ltd
54B56C	Xi'an NovaStar Tech Co., Ltd
54B620	SUHDOL E&C Co.Ltd.
54B753	Hunan Fenghui Yinjia Science And Technology Co.,Ltd
54B7BD	Arcadyan Corporation
54B7E5	Rayson Technology Co., Ltd.
54B802	Samsung Electronics Co.,Ltd
54B80A	D-Link International
54B874	GD Midea Air-Conditioning Equipment Co.,Ltd.
54B8DB	Apple, Inc.
54BAD6	HUAWEI TECHNOLOGIES CO.,LTD
54BAD9	Intelbras
54BD79	Samsung Electronics Co.,Ltd
54BE53	zte corporation
54BEF7	PEGATRON CORPORATION
54BF64	Dell Inc.
54C078	Infinix mobility limited
54C1D3	Guangzhou TR Intelligent Manufacturing Technology Co., Ltd
54C250	Iskratel d.o.o.
54C33E	Ciena Corporation
54C415	Hangzhou Hikvision Digital Technology Co.,Ltd.
54C45B	Arcadyan Corporation
54C480	HUAWEI TECHNOLOGIES CO.,LTD
54C57A	Sunnovo International Limited
54C6A6	Hubei Yangtze Mason Semiconductor Technology  Co., Ltd.
54C6FF	New H3C Technologies Co., Ltd
54C80F	TP-LINK TECHNOLOGIES CO.,LTD.
54C8CC	Shenzhen SDG Telecom Equipment Co.,Ltd.
54C9DF	FN-LINK TECHNOLOGY LIMITED
54CD10	Panasonic Mobile Communications Co.,Ltd.
54CDA7	Fujian Shenzhou Electronic Co.,Ltd
54CDEE	ShenZhen Apexis Electronic Co.,Ltd
54CE69	Hikari Trading Co.,Ltd.
54CE82	zte corporation
54CF8D	HUAWEI TECHNOLOGIES CO.,LTD
54D0B4	Xiamen Four-Faith Communication Technology Co.,Ltd
54D0ED	AXIM Communications
54D163	MAX-TECH,INC
54D17D	Samsung Electronics Co.,Ltd
54D1B0	Universal Laser Systems, Inc
54D272	Nuki Home Solutions GmbH
54D46F	Cisco SPVTG
54D60D	Hangzhou Ezviz Software Co.,Ltd.
54D751	Proximus
54D7E3	Hewlett Packard Enterprise
54D9C6	Huawei Device Co., Ltd.
54D9E4	BRILLIANTTS CO., LTD
54DBA2	Fibrain
54DC1D	Yulong Computer Telecommunication Scientific (Shenzhen) Co.,Ltd
54DCE9	Silicon Laboratories
54DD21	Huawei Device Co., Ltd.
54DD4F	Samsung Electronics Co.,Ltd
54DED0	Sevio Srl
54DED3	zte corporation
54DF00	Ulterius Technologies, LLC
54DF1B	Vestel Elektronik San ve Tic. A.S.
54DF24	Fiberhome Telecommunication Technologies Co.,LTD
54DF63	Intrakey technologies GmbH
54E005	Fiberhome Telecommunication Technologies Co.,LTD
54E019	Ring LLC
54E032	Juniper Networks
54E061	Sichuan Tianyi Comheart Telecom Co.,LTD
54E140	INGENICO
54E15B	Huawei Device Co., Ltd.
54E1AD	LCFC(Hefei) Electronics Technology co., ltd
54E1B6	Renesas Electronics (Penang) Sdn. Bhd.
54E2C8	Dongguan Aoyuan Electronics Technology Co., Ltd
54E2E0	Commscope
54E3B0	JVL Industri Elektronik
54E3F6	Alcatel-Lucent
54E43A	Apple, Inc.
54E4A9	BHR Tech GmbH
54E4BD	FN-LINK TECHNOLOGY LIMITED
54E4ED	Intel Corporate
54E61B	Apple, Inc.
54E63F	ShenZhen LingKeWeiEr Technology Co., Ltd.
54E6FC	TP-LINK TECHNOLOGIES CO.,LTD.
54E7D5	Sun Cupid Technology (HK) LTD
54EAA8	Apple, Inc.
54EAE1	Honor Device Co., Ltd.
54EBE9	Apple, Inc.
54EC2F	Ruckus Wireless
54ECB0	Sercomm France Sarl
54EDA3	Navdy, Inc.
54EE75	Wistron InfoComm(Kunshan)Co.,Ltd.
54EF33	SHENZHEN BILIAN ELECTRONIC CO.，LTD
54EF43	HUAWEI TECHNOLOGIES CO.,LTD
54EF44	Lumi United Technology Co., Ltd
54EF5B	Science Corporation
54EF92	Shenzhen Elink Technology Co., LTD
54EFFE	Fullpower Technologies, Inc.
54F0B1	Hewlett Packard Enterprise
54F15F	Sichuan AI-Link Technology Co., Ltd.
54F201	Samsung Electronics Co.,Ltd
54F294	Huawei Device Co., Ltd.
54F29F	HUNAN FN-LINK TECHNOLOGY LIMITED
54F5B6	ORIENTAL PACIFIC INTERNATIONAL LIMITED
54F607	Huawei Device Co., Ltd.
54F666	Berthold Technologies GmbH and Co.KG
54F6C5	FUJIAN STAR-NET COMMUNICATION CO.,LTD
54F6E2	HUAWEI TECHNOLOGIES CO.,LTD
54F82A	u-blox AG
54F876	ABB AG
54F8F0	Tesla Inc
54FA3E	Samsung Electronics Co.,Ltd
54FA89	Medtronic CRM
54FA96	Nokia Solutions and Networks GmbH & Co. KG
54FB58	WISEWARE, Lda
54FB5A	Optomind Inc.
54FB66	ASRock Incorporation
54FCF0	Samsung Electronics Co.,Ltd
54FDBF	Scheidt & Bachmann GmbH
54FEEB	Texas Instruments
54FF82	Davit Solution co.
54FFCF	Mopria Alliance
580032	Genexis B.V.
5800BB	Juniper Networks
5800E3	Liteon Technology Corporation
580205	AzureWave Technology Inc.
5803FB	Hangzhou Hikvision Digital Technology Co.,Ltd.
58044F	TP-Link Systems Inc.
580454	ICOMM HK LIMITED
5804CB	Tianjin Huisun Technology Co.,Ltd.
580528	LABRIS NETWORKS
580556	Elettronica GF S.r.L.
5805D9	Seiko Epson Corporation
5807F8	Nokia Solutions and Networks GmbH & Co. KG
5808FA	Fiber Optic & telecommunication INC.
580943	Private
580987	Amazon Technologies Inc.
5809E5	Kivic Inc.
580A20	Cisco Systems, Inc
580AD4	Apple, Inc.
580D0D	GREE ELECTRIC APPLIANCES, INC. OF ZHUHAI
581031	Hon Hai Precision IND.CO.,LTD
58108C	Intelbras
5810B7	Infinix mobility limited
581122	ASUSTek COMPUTER INC.
581243	AcSiP Technology Corp.
5813D3	Gemtek Technology Co., Ltd.
581626	Avaya Inc
5816D7	ALPSALPINE CO,.LTD
58170C	Sony Corporation
581862	Sony Corporation
5819F8	Commscope
581CBD	Affinegy
581CF8	Intel Corporate
581D91	Advanced Mobile Telecom co.,ltd.
581DC9	MSE CO.,LTD.
581DD8	Sagemcom Broadband SAS
581F19	EMH Metering GmbH & Co. KG
581F28	HUAWEI TECHNOLOGIES CO.,LTD
581F67	Open-m technology limited
581FAA	Apple, Inc.
581FEF	Tuttnaer LTD
582059	Xiaomi Communications Co Ltd
582071	Samsung Electronics Co.,Ltd
58208A	IEEE Registration Authority
5820B1	Hewlett Packard
582136	KMB systems, s.r.o.
5821E9	TWPI
58238C	Vantiva USA LLC
58239B	Fiberhome Telecommunication Technologies Co.,LTD
5823BC	IEEE Registration Authority
582429	Google, Inc.
582575	HUAWEI TECHNOLOGIES CO.,LTD
58257A	MOBIWIRE MOBILES(NINGBO) CO.,LTD
58263A	Silicon Laboratories
582745	Angelbird Technologies GmbH
58278C	BUFFALO.INC
582A93	Apple, Inc.
582AF7	HUAWEI TECHNOLOGIES CO.,LTD
582B0A	Texas Instruments
582BDB	Pax AB
582D34	Qingping Electronics (Suzhou) Co., Ltd
582EFE	Lighting Science Group
582F40	Nintendo Co.,Ltd
582F42	Universal Electric Corporation
582FF7	Sagemcom Broadband SAS
58305B	Shanghai Junqian Sensing Technology Co.,LTD
58306E	Nokia
583112	DRUST
583277	Reliance Communications LLC
58343B	Glovast Technology Ltd.
58350F	EM Microelectronic
583526	DEEPLET TECHNOLOGY CORP
58355D	Huawei Device Co., Ltd.
58356B	TECNO MOBILE LIMITED
5835D9	Cisco Systems, Inc
583653	Apple, Inc.
583879	RICOH COMPANY, LTD.
583BC2	Silicon Laboratories
583BD9	Fiberhome Telecommunication Technologies Co.,LTD
583CC6	Omneality Ltd.
583F54	LG Electronics (Mobile Communications)
58404E	Apple, Inc.
584120	TP-LINK TECHNOLOGIES CO.,LTD.
584146	Guangzhou Shiyuan Electronic Technology Company Limited
5842E4	Baxter International Inc
5843AB	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
584498	Xiaomi Communications Co Ltd
58454C	Ericsson AB
58468F	Koncar Electronics and Informatics
5846E1	Baxter International Inc
584704	Shenzhen Webridge Technology Co.,Ltd
5847CA	IEEE Registration Authority
584822	Sony Corporation
584849	IEEE Registration Authority
5848C0	COFLEC
584925	E3 Enterprise
58493B	Palo Alto Networks
5849BA	Chitai Electronic Corp.
584BBC	zte corporation
584C19	Chongqing Guohong Technology Development Company Limited
584CEE	Digital One Technologies, Limited
584D42	Dragos, Inc.
585076	Linear Equipamentos Eletronicos SA
58509F	CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.
5850AB	TLS Corporation
5850E6	Best Buy Corporation
5850ED	Hangzhou Hikvision Digital Technology Co.,Ltd.
58528A	Mitsubishi Electric Corporation
5853C0	Beijing Guang Runtong Technology Development Company co.,Ltd
585595	Apple, Inc.
5855CA	Apple, Inc.
58569F	Cisco Systems, Inc
5856AA	Apple, Inc.
5856C2	HUAWEI TECHNOLOGIES CO.,LTD
5856E8	Commscope
58570D	Danfoss Solar Inverters
5858CD	Extreme Networks Headquarters
585924	Nanjing Simon Info Tech Co.,Ltd.
5859C2	Extreme Networks Headquarters
585B69	TVT CO., LTD
585FF6	zte corporation
586010	shenzhen zovoton electronic co.,ltd
58605F	HUAWEI TECHNOLOGIES CO.,LTD
5860D8	Commscope
586163	Quantum Networks (SG) Pte. Ltd.
586356	FN-LINK TECHNOLOGY LIMITED
58639A	TPL SYSTEMES
5864C4	Apple, Inc.
5865E6	infomark
58666D	Apple, Inc.
5866BA	Hangzhou H3C Technologies Co., Limited
58671A	Barnes&Noble
58677F	Clare Controls Inc.
58685D	Tempo Australia Pty Ltd
586861	VIASAT, INCORPORATED
58687A	Sagemcom Broadband SAS
58696C	Ruijie Networks Co.,LTD
5869F9	Fusion Transactive Ltd.
586AB1	Hangzhou H3C Technologies Co., Limited
586B14	Apple, Inc.
586C25	Intel Corporate
586D67	Intel Corporate
586D8F	Cisco-Linksys, LLC
586ED6	Private
58707F	Ericsson AB
5870C6	Shanghai Xiaoyi Technology Co., Ltd.
5872C9	zte corporation
5873D1	HUAWEI TECHNOLOGIES CO.,LTD
5873D8	Apple, Inc.
587521	CJSC RTSoft
587607	IEEE Registration Authority
587675	Beijing ECHO Technologies Co.,Ltd
58769C	Palo Alto Networks
5876AC	SERNET (SUZHOU) TECHNOLOGIES CORPORATION
5876B3	Ubee Interactive Co., Limited
5876C5	DIGI I'S LTD
587961	Microsoft Corporation
5879E0	Samsung Electronics Co.,Ltd
587A4D	Stonesoft Corporation
587A62	Texas Instruments
587A6A	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
587AB1	Shanghai Lixun Information Technology Co., Ltd.
587BE9	AirPro Technology India Pvt. Ltd
587DB6	Northern Data AG
587E61	Qingdao Hisense Communications Co.,Ltd.
587F57	Apple, Inc.
587F66	HUAWEI TECHNOLOGIES CO.,LTD
587FB7	SONAR INDUSTRIAL CO., LTD.
587FC8	S2M
58821D	H. Schomäcker GmbH
5882A8	Microsoft
588336	HUAWEI TECHNOLOGIES CO.,LTD
5884E4	IP500 Alliance e.V.
58856E	QSC AG
5885A2	Realme Chongqing MobileTelecommunications Corp Ltd
5885E9	Realme Chongqing MobileTelecommunications Corp Ltd
588670	Juniper Networks
588694	EFM Networks
58874C	LITE-ON CLEAN ENERGY TECHNOLOGY CORP.
588785	Adtran Inc
58879F	Huawei Device Co., Ltd.
5887E2	Shenzhen Coship Electronics Co., Ltd.
588990	Starkey Labs Inc.
588A5A	Dell Inc.
588B1C	Cisco Systems, Inc
588BF3	Zyxel Communications Corporation
588C81	Espressif Inc.
588CCF	Silicon Laboratories
588D09	Cisco Systems, Inc
588D39	MITSUBISHI ELECTRIC AUTOMATION (CHINA) LTD.
588D64	Xi'an Clevbee Technology Co.,Ltd
588E81	Silicon Laboratories
588FCF	Hangzhou Ezviz Software Co.,Ltd.
589043	Sagemcom Broadband SAS
589153	China Mobile IOT Company Limited
5891CF	Intel Corporate
58920D	Kinetic Avionics Limited
589351	Huawei Device Co., Ltd.
589396	Ruckus Wireless
5893D8	Texas Instruments
5893E8	Apple, Inc.
58946B	Intel Corporate
5894A2	KETEK GmbH
5894AE	Huawei Device Co., Ltd.
5894B2	BrainCo
5894CF	Vertex Standard LMR, Inc.
58957E	Huawei Device Co., Ltd.
5895D8	IEEE Registration Authority
58960A	LG Electronics
58961D	Intel Corporate
589630	Vantiva USA LLC
589671	WNC Corporation
58971E	Cisco Systems, Inc
5897BD	Cisco Systems, Inc
589835	Vantiva Technologies Belgium
58986F	Revolution Display
589A3E	Amazon Technologies Inc.
589B0B	Shineway Technologies, Inc.
589B4A	DWnet Technologies(Suzhou) Corporation
589BF7	Hefei Radio Communication Technology Co., Ltd
589CFC	FreeBSD Foundation
589EC6	Gigaset Technologies GmbH
58A023	Intel Corporate
58A0CB	TrackNet, Inc
58A15F	Texas Instruments
58A2B5	LG Electronics (Mobile Communications)
58A2E1	Mellanox Technologies, Inc.
58A48E	PixArt Imaging Inc.
58A639	Samsung Electronics Co.,Ltd
58A748	Lytx
58A76F	iD corporation
58A839	Intel Corporate
58A87B	Fitbit, Inc.
58A8E8	Amazon Technologies Inc.
58AC78	Cisco Systems, Inc
58AD08	IEEE Registration Authority
58AD12	Apple, Inc.
58AE2B	Huawei Device Co., Ltd.
58AEA8	HUAWEI TECHNOLOGIES CO.,LTD
58AEF1	Fiberhome Telecommunication Technologies Co.,LTD
58B035	Apple, Inc.
58B03E	Nintendo Co.,Ltd
58B0D4	ZuniData Systems Inc.
58B0FE	Team EPS GmbH
58B10F	Samsung Electronics Co.,Ltd
58B18F	Huawei Device Co., Ltd.
58B38F	New H3C Technologies Co., Ltd
58B3FC	SHENZHEN RF-LINK TECHNOLOGY CO.,LTD.
58B42D	YSTen Technology Co.,Ltd
58B4BB	Ruijie Networks Co.,LTD
58B568	SECURITAS DIRECT ESPAÑA, SAU
58B623	Beijing Xiaomi Mobile Software Co., Ltd
58B633	Ruckus Wireless
58B858	SZ DJI TECHNOLOGY CO.,LTD
58B961	SOLEM Electronique
58B965	Apple, Inc.
58B9E1	Crystalfontz America, Inc.
58BAD3	NANJING CASELA TECHNOLOGIES CORPORATION LIMITED
58BAD4	HUAWEI TECHNOLOGIES CO.,LTD
58BC27	Cisco Systems, Inc
58BC8F	Cognitive Systems Corp.
58BD35	SHANGHAI XIANGCHENG COMMUNICATION TECHNOLOGY CO., LTD
58BDA3	Nintendo Co., Ltd.
58BDF9	Sigrand
58BE72	HUAWEI TECHNOLOGIES CO.,LTD
58BF25	Espressif Inc.
58BFEA	Cisco Systems, Inc
58C17A	Cambium Networks Limited
58C232	NEC Corporation
58C356	EM Microelectronic
58C38B	Samsung Electronics Co.,Ltd
58C41E	IEEE Registration Authority
58C57E	Fiberhome Telecommunication Technologies Co.,LTD
58C583	ITEL MOBILE LIMITED
58C587	AltoBeam Inc.
58C5CB	Samsung Electronics Co.,Ltd
58C6F0	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
58C7AC	New H3C Technologies Co., Ltd
58C876	China Mobile (Hangzhou) Information Technology Co., Ltd.
58C935	Chiun Mai Communication System, Inc
58CB52	Google, Inc.
58CDC9	CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.
58CE2A	Intel Corporate
58CF4B	Lufkin Industries
58CF79	Espressif Inc.
58D061	HUAWEI TECHNOLOGIES CO.,LTD
58D071	BW Broadcast
58D08F	IEEE 1904.1 Working Group
58D15A	Texas Instruments
58D237	Sichuan Tianyi Comheart Telecom Co.,LTD
58D312	zte corporation
58D349	Apple, Inc.
58D391	Quectel Wireless Solutions Co.,Ltd.
58D50A	Murata Manufacturing Co., Ltd.
58D533	Huaqin Technology Co.,Ltd
58D56E	D-Link International
58D61F	Ubiquiti Inc
58D67A	TCPlink
58D697	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
58D6D3	Dairy Cheq Inc
58D759	HUAWEI TECHNOLOGIES CO.,LTD
58D812	TP-Link Systems Inc.
58D8A7	Bird Home Automation GmbH
58D9C3	Motorola Mobility LLC, a Lenovo Company
58D9D5	Tenda Technology Co.,Ltd.Dongguan branch
58DB09	Quectel Wireless Solutions Co.,Ltd.
58DB15	TECNO MOBILE LIMITED
58DB8D	Fast Co., Ltd.
58DC6D	Exceptional Innovation, Inc.
58DF59	Cisco Systems, Inc
58DF70	Private
58E02C	Micro Technic A/S
58E16C	Ying Hua Information Technology (Shanghai)Co., LTD
58E28F	Apple, Inc.
58E326	Compass Technologies Inc.
58E359	Interroll Software & Electronics GmbH
58E403	WNC Corporation
58E434	Juniper Networks
58E476	CENTRON COMMUNICATIONS TECHNOLOGIES FUJIAN CO.,LTD
58E488	Amazon Technologies Inc.
58E4EB	FN-LINK TECHNOLOGY Ltd.
58E636	EVRsafe Technologies
58E6BA	Apple, Inc.
58E6C5	Espressif Inc.
58E747	Deltanet AG
58E808	AUTONICS CORPORATION
58E873	HANGZHOU DANGBEI NETWORK TECH.Co.,Ltd
58E876	IEEE Registration Authority
58EA1F	Beijing Xiaomi Mobile Software Co., Ltd
58EAFC	ELL-IoT Inc
58EB14	Proteus Digital Health
58ECE1	Newport Corporation
58ECED	Integrated Device Technology (Malaysia) Sdn. Bhd.
58ED99	zte corporation
58EECE	Icon Time Systems
58EF68	Belkin International Inc.
58F102	BLU Products Inc.
58F2FC	Huawei Device Co., Ltd.
58F387	Airios
58F39C	Cisco Systems, Inc
58F496	Source Chain
58F67B	Xia Men UnionCore Technology LTD.
58F6BF	Kyoto University
58F85C	LLC Proizvodstvennaya Kompania "TransService"
58F8D7	HUAWEI TECHNOLOGIES CO.,LTD
58F987	HUAWEI TECHNOLOGIES CO.,LTD
58F98E	SECUDOS GmbH
58FB3E	Huawei Device Co., Ltd.
58FB84	Intel Corporate
58FB96	Ruckus Wireless
58FC20	Altice Labs
58FC73	Arria Live Media, Inc.
58FCC6	TOZO INC
58FCC8	Honeywell
58FCDB	IEEE Registration Authority
58FCE3	Funshion Online Technologies Co.,Ltd
58FD20	Systemhouse Solutions AB
58FD5D	Hangzhou Xinyun technology Co., Ltd.
58FDB1	LG Electronics
58FDBE	Shenzhen Taikaida Technology Co., Ltd
58FE7E	zte corporation
58FFA1	zte corporation
5A03BA	Wireless Broadband Alliance, Inc
5A18FF	FiRa Consortium
5A55AD	Disruptive Cities SAPI DE CV
5A6BB4	Xconn Technologies
5A73CF	Gogo Business Aviation
5ACBD3	Simaudio Ltd
5AE660	nyantec GmbH
5AED67	GoldiLink Technology Corp.
5C0038	Viasat Group S.p.A.
5C013B	Espressif Inc.
5C0214	Beijing Xiaomi Mobile Software Co., Ltd
5C026A	Applied Vision Corporation
5C0272	Silicon Laboratories
5C0339	HUAWEI TECHNOLOGIES CO.,LTD
5C045A	Company NA Stage & Light
5C0610	Cisco Meraki
5C0758	Ufispace Co., LTD.
5C076F	Thought Creator
5C07A4	Ciena Corporation
5C07A6	HUAWEI TECHNOLOGIES CO.,LTD
5C0947	Apple, Inc.
5C0979	HUAWEI TECHNOLOGIES CO.,LTD
5C0A5B	SAMSUNG ELECTRO MECHANICS CO., LTD.
5C0B3B	HUAWEI TECHNOLOGIES CO.,LTD
5C0BCA	Tunstall Nordic AB
5C0C0E	Guizhou Huaxintong Semiconductor Technology Co Ltd
5C0CBB	CELIZION Inc.
5C0CE6	Nintendo Co.,Ltd
5C0E8B	Extreme Networks Headquarters
5C0FFB	Amino Communications Ltd
5C101E	zte corporation
5C10C5	Samsung Electronics Co.,Ltd
5C1193	Seal One AG
5C13AC	Apple, Inc.
5C13CC	Apple, Inc.
5C1437	Thyssenkrupp Aufzugswerke GmbH
5C14EB	Trident IoT
5C1515	ADVAN
5C15C5	Shenzhen SSC Technology Co. Ltd
5C15E1	AIDC TECHNOLOGY (S) PTE LTD
5C1648	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
5C167D	HUAWEI TECHNOLOGIES CO.,LTD
5C16C7	Arista Networks
5C1720	Huawei Device Co., Ltd.
5C1737	I-View Now, LLC.
5C1783	Edgecore Americas Networking Corporation
5C17CF	OnePlus Technology (Shenzhen) Co., Ltd
5C17D3	LGE
5C18B5	Talon Communications
5C18DD	CIG SHANGHAI CO LTD
5C1923	Hangzhou Lanly Technology Co., Ltd.
5C1A6F	Cambridge Industries(Group) Co.,Ltd.
5C1B17	Bosch Automotive Electronics India Pvt. Ltd.
5C1BF4	Apple, Inc.
5C1CB9	vivo Mobile Communication Co., Ltd.
5C1DD9	Apple, Inc.
5C20D0	Asoni Communication Co., Ltd.
5C2167	Rockwell Automation
5C22C4	DAE EUN ELETRONICS CO., LTD
5C22DA	Vantiva USA LLC
5C2316	Squirrels Research Labs LLC
5C241F	Qingdao Haier Technology Co.,Ltd
5C2443	O-Sung Telecom Co., Ltd.
5C2479	Baltech AG
5C24E2	Suzhou Denbom Electronic S&T Co., Ltd
5C254C	Avire Global Pte Ltd
5C2573	Mellanox Technologies, Inc.
5C260A	Dell Inc.
5C2623	WaveLynx Technologies Corporation
5C2763	Itibia Technologies
5C27D4	Shenzhen Qihu Intelligent Technology Company Limited
5C2886	Inventec(Chongqing) Corporation
5C2AEF	r2p Asia-Pacific Pty Ltd
5C2BF5	Vivint Wireless Inc.
5C2D08	Subeca
5C2E59	Samsung Electronics Co.,Ltd
5C2ED2	ABC(XiSheng) Electronics Co.,Ltd
5C2FAF	HomeWizard B.V.
5C313E	Texas Instruments
5C3192	Cisco Systems, Inc
5C32C5	Teracom Ltd.
5C3327	Spazio Italia srl
5C335C	Swissphone Telecom AG
5C337B	Google, Inc.
5C338E	Alpha Networks Inc.
5C33B1	EM Microelectronic
5C3400	Hisense Electric Co.,Ltd
5C345B	Hangzhou Hikvision Digital Technology Co.,Ltd.
5C353B	Compal Broadband Networks, Inc.
5C3548	Aditya Infotech Ltd.
5C35DA	There Corporation Oy
5C35FC	Actiontec Electronics Inc.
5C36B8	TCL King Electrical Appliances (Huizhou) Co., Ltd
5C38E0	Shanghai Super Electronics Technology Co.,LTD
5C3977	Juniper Networks
5C3A3D	zte corporation
5C3A45	CHONGQING FUGUI ELECTRONICS CO.,LTD.
5C3AA2	Silicon Laboratories
5C3B35	Gehirn Inc.
5C3C27	Samsung Electronics Co.,Ltd
5C3E06	Cisco Systems, Inc
5C3E1B	Apple, Inc.
5C4058	Jefferson Audio Video Systems, Inc.
5C4071	Xiaomi Communications Co Ltd
5C40E3	NOVAON
5C415A	Amazon.com, LLC
5C41E7	Wiatec International Ltd.
5C43D2	HAZEMEYER
5C443E	Skullcandy
5C4527	Juniper Networks
5C4546	Shenzhen Water World Information Co.,Ltd.
5C46B0	SIMCom Wireless Solutions Limited
5C475E	Ring LLC
5C4842	Hangzhou Anysoft Information Technology Co. , Ltd
5C4879	HUAWEI TECHNOLOGIES CO.,LTD
5C4979	AVM Audiovisuelles Marketing und Computersysteme GmbH
5C497D	Samsung Electronics Co.,Ltd
5C49FA	Shenzhen Guowei Shidai Communication Equipement Co., Ltd
5C4A1F	Sichuan Tianyi Comheart Telecom Co.,LTD
5C4A26	Enguity Technology Corp
5C4CA9	HUAWEI TECHNOLOGIES CO.,LTD
5C4DBF	zte corporation
5C4EEE	AltoBeam Inc.
5C5015	Cisco Systems, Inc
5C50D9	Apple, Inc.
5C5136	Samsung Electronics Co.,Ltd
5C514F	Intel Corporate
5C5181	Samsung Electronics Co.,Ltd
5C5188	Motorola Mobility LLC, a Lenovo Company
5C521E	Nintendo Co.,Ltd
5C5230	Apple, Inc.
5C5284	Apple, Inc.
5C5310	Nanjing Qinheng Microelectronics Co., Ltd.
5C53B4	EM Microelectronic
5C53C3	Ubee Interactive Co., Limited
5C546D	HUAWEI TECHNOLOGIES CO.,LTD
5C5578	iryx corp
5C56A4	Wanan Hongsheng Electronic Co.Ltd
5C56ED	3pleplay Electronics Private Limited
5C571A	Commscope
5C579E	Chiun Mai Communication System, Inc
5C57C8	Nokia Corporation
5C5819	Jingsheng Technology Co., Ltd.
5C58E6	Palo Alto Networks
5C5948	Apple, Inc.
5C5A4C	IEEE Registration Authority
5C5AC7	Cisco Systems, Inc
5C5AEA	FORD
5C5B35	Mist Systems, Inc.
5C5BC2	YIK Corporation
5C5C75	IEEE Registration Authority
5C5DEC	JiangSu Newcom Optical&Electrical Communication CO Ltd
5C5E0A	Samsung Electronics Co.,Ltd
5C5EAB	Juniper Networks
5C5EBB	HUAWEI TECHNOLOGIES CO.,LTD
5C5F67	Intel Corporate
5C60BA	HP Inc.
5C6152	NXP Semiconductor (Tianjin) LTD.
5C6199	CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.
5C625A	CANON INC.
5C628B	TP-Link Systems Inc
5C63BF	TP-LINK TECHNOLOGIES CO.,LTD.
5C63C9	Intellithings Ltd.
5C640F	Sage Technologies Inc.
5C647A	HUAWEI TECHNOLOGIES CO.,LTD
5C648E	Zyxel Communications Corporation
5C64F1	Cisco Systems, Inc
5C64F3	sywinkey HongKong Co,. Limited?
5C666C	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
5C6776	IDS Imaging Development Systems GmbH
5C6783	Intel Corporate
5C68D0	Aurora Innovation Inc.
5C6984	NUVICO
5C6A7D	KENTKART EGE ELEKTRONIK SAN. VE TIC. LTD. STI.
5C6A80	Zyxel Communications Corporation
5C6AEC	IEEE Registration Authority
